code_index,best_doc_index,similarity
0,7,0.6245874762535095
1,5,0.4460408687591553
2,5,0.2228248417377472
3,9,0.28756842017173767
4,8,0.5438583493232727
5,3,0.48721861839294434
6,3,0.22995327413082123
7,14,0.4347439110279083
8,10,0.40962153673171997
9,14,0.5596814155578613
10,8,0.6016511917114258
11,14,0.5483883023262024
12,8,0.4841499924659729
13,8,0.6592392325401306
14,8,0.4720635414123535
15,8,0.26440519094467163
16,9,0.2870529294013977
17,9,0.41677114367485046
18,3,0.46208125352859497
19,12,0.37883105874061584
20,8,0.3692127466201782
21,14,0.4578225612640381
22,8,0.5265407562255859
23,9,0.5793241262435913
24,8,0.6448391675949097
25,8,0.41709357500076294
26,9,0.27464401721954346
27,9,0.46724236011505127
28,8,0.31377559900283813
29,10,0.4284270405769348
30,6,0.2310781031847
31,8,0.24632135033607483
32,14,0.43548130989074707
33,8,0.47612184286117554
34,7,0.23256802558898926
35,9,0.5619316697120667
36,7,0.583357572555542
37,7,0.6211370229721069
38,10,0.4921966791152954
39,8,0.6522103548049927
40,8,0.5956788659095764
41,14,0.5992088913917542
42,8,0.5571479201316833
43,3,0.42604491114616394
44,2,0.6717416048049927
45,8,0.6867865920066833
46,7,0.5472066402435303
47,8,0.41283971071243286
48,8,0.6582764983177185
49,14,0.3837575316429138
