diretorio,text_score,tokens_detectados,num_funcoes,num_classes,linhas_codigo,padrao_arquitetural
ChatTTS,0.843843936920166,395,0,0,36,Indeterminado
ChatTTS/ChatTTS,0.8424003918965658,10437,29,4,888,Indeterminado
ChatTTS/ChatTTS/config,0.8063501119613647,1257,0,14,106,Indeterminado
ChatTTS/ChatTTS/model,0.8483468890190125,15122,49,13,1153,Procedural/OOP
ChatTTS/ChatTTS/model/cuda,0.8949847221374512,2932,8,3,163,Procedural/OOP
ChatTTS/ChatTTS/model/velocity,0.8757390890802655,62972,199,34,4151,Procedural/OOP
ChatTTS/ChatTTS/res,0.4012986123561859,1,0,0,0,Indeterminado
ChatTTS/ChatTTS/utils,0.8537478566169738,3814,16,1,312,Modular
ChatTTS/examples,0.4012986123561859,1,0,0,0,Indeterminado
ChatTTS/examples/api,0.7890090346336365,8055,5,2,590,Procedural/OOP
ChatTTS/examples/cmd,0.8798348009586334,3608,12,1,294,Modular
ChatTTS/examples/onnx,0.8611902197202047,22035,78,20,1410,MVC
ChatTTS/examples/web,0.7499287202954292,4752,14,0,473,Indeterminado
ChatTTS/tools,0.4012986123561859,1,0,0,0,Indeterminado
ChatTTS/tools/audio,0.850419545173645,2630,10,0,171,Modular
ChatTTS/tools/llm,0.6877581477165222,656,2,1,70,Indeterminado
ChatTTS/tools/logger,0.8394273519515991,1021,3,1,63,Indeterminado
ChatTTS/tools/normalizer,0.8711684743563334,194,2,0,15,Modular
ChatTTS/tools/seeder,0.8241769671440125,131,3,1,11,Indeterminado
